Type,Star,Mini Name,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,L1 Stats,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,Song Target
Flow,1,seatrus,,50,30,,,,,,20,,,,10,6,,,,,,5,,"[""Karakuri by seatrus feat. Hatsune Miku"",""Karakuri (Hard) by seatrus feat. Hatsune Miku"",""MONONOKE by seatrus"",""MONONOKE (Hard) by seatrus"",""permitted by seatrus"",""permitted (Hard) by seatrus"",""permitted (Easy) by seatrus"",""%UnDeciphered-CryptoGraph in the Edifice% by seatrus"",""%UnDeciphered-CryptoGraph in the Edifice% (Hard) by seatrus"",""%UnDeciphered-CryptoGraph in the Edifice% (Easy) by seatrus"",""Viral Cleric by seatrus"",""Viral Cleric (Hard) by seatrus"",""Karakuri (Easy) by seatrus feat. Hatsune Miku"",""Spooky Dance Party by seatrus"",""Spooky Dance Party (Hard) by seatrus"",""Spooky Dance Party (Easy) by seatrus"",""Stargaze Station by seatrus"",""Stargaze Station (Hard) by seatrus"",""Stargaze Station (Easy) by seatrus"",""White Nights by seatrus"",""White Nights (Hard) by seatrus"",""Geton the Ascending Current (Spinoff of 'Loudly Cloudy') [EXTENDED CUT] by seatrus"",""Geton the Ascending Current (Spinoff of 'Loudly Cloudy') [EXTENDED CUT] (Hard) by seatrus"",""Melty Lover by seatrus"",""Melty Lover (Hard) by seatrus"",""A Starry Night and a Single Flower by seatrus"",""A Starry Night and a Single Flower (Hard) by seatrus"",""A Starry Night and a Single Flower (Easy) by seatrus"",""Oyasmy by seatrus"",""Oyasmy (Hard) by seatrus"",""Running Through the Sky are the Wings of a Girl Who Hopes by seatrus"",""Running Through the Sky are the Wings of a Girl Who Hopes (Hard) by seatrus"",""Running Through the Sky are the Wings of a Girl Who Hopes (Easy) by seatrus"",""The Daybreak Will Never Come Again ('rampagE' long vEr.) [EXTENDED CUT] by seatrus"",""The Daybreak Will Never Come Again ('rampagE' long vEr.) [EXTENDED CUT] (Hard) by seatrus"",""critical divEr by seatrus (feat. Risa Yuzuki)"",""critical divEr (Hard) by seatrus (feat. Risa Yuzuki)"",""critical divEr (Easy) by seatrus (feat. Risa Yuzuki)"",""insulated by seatrus"",""insulated (Hard) by seatrus"",""Endless Rain by seatrus (feat. marumoko)"",""Endless Rain (Hard) by seatrus (feat. marumoko)"",""Endless Rain (Easy) by seatrus (feat. marumoko)"",""galvanical onEshot by seatrus"",""galvanical onEshot (Hard) by seatrus"",""galvanical onEshot (Easy) by seatrus"",""Spiky Spiky Bounce by seatrus"",""Spiky Spiky Bounce (Hard) by seatrus"",""ExitusHaul by seatrus"",""ExitusHaul (Hard) by seatrus"",""Raindrop by seatrus"",""Raindrop (Hard) by seatrus"",""Scorcher on The Battlefield by seatrus"",""Scorcher on The Battlefield (Hard) by seatrus"",""Mystica:ll Refrain [EXTENDED CUT] by seatrus"",""Mystica:ll Refrain [EXTENDED CUT] (Hard) by seatrus"",""Little World Adventure [EXTENDED CUT] by seatrus"",""Little World Adventure [EXTENDED CUT] (Hard) by seatrus"",""TEMP3ST by seatrus"",""TEMP3ST (Hard) by seatrus"",""TEMP3ST (Easy) by seatrus""]"
Chill,1,YooH,70,,15,,,,,,,32,,14,,3,,,,,,,8,"[""ATENA by Yooh"",""ATENA (Hard) by Yooh"",""Energy Of The Star by BlackY & Yooh & nora2r & kanone"",""Energy Of The Star (Hard) by BlackY & Yooh & nora2r & kanone"",""Ice Angel by Yooh"",""Ice Angel (Hard) by Yooh"",""Ice Angel (Easy) by Yooh"",""LiFE Garden by Yooh"",""LiFE Garden (Hard) by Yooh"",""LiFE Garden (Easy) by Yooh"",""Pink Rain by Yooh"",""Pink Rain (Hard) by Yooh"",""Wings by Yooh"",""Wings (Hard) by Yooh"",""Don't Be Afraid... by Yooh"",""Don't Be Afraid... (Hard) by Yooh"",""Saramandra by Yooh & Harunaba"",""Saramandra (Hard) by Yooh & Harunaba"",""Combat High by Yooh"",""Combat High (Hard) by Yooh"",""Dreams by Yooh"",""Dreams (Hard) by Yooh""]"
Beat,2,Heavy Metal Starlet,,,,70,35,,,24,,,,,,,14,7,,,6,,,"[""introduction - INSANE INFLAME by Camellia"",""introduction - INSANE INFLAME (Hard) by Camellia"",""Rock Thing by Creo"",""Rock Thing (Hard) by Creo"",""Monster by Yasuki Miyagi [Nash Music Library]"",""Monster (Hard) by Yasuki Miyagi [Nash Music Library]"",""Soulless 5 (HalfDuck Cover) [EXTENDED CUT] by ExileLord (Cover by HalfDuck)"",""Soulless 5 (HalfDuck Cover) [EXTENDED CUT] (Hard) by ExileLord (Cover by HalfDuck)"",""Flipper Frenzy by HalfDuck"",""Flipper Frenzy (Hard) by HalfDuck"",""Endless Oceans by HalfDuck"",""Endless Oceans (Hard) by HalfDuck"",""The Warrior's Quack by HalfDuck"",""The Warrior's Quack (Hard) by HalfDuck"",""Wings Of A Duck by HalfDuck"",""Wings Of A Duck (Hard) by HalfDuck"",""FREEDOM DiVE[METAL DIMENSIONS] by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""FREEDOM DiVE[METAL DIMENSIONS] (Hard) by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""FREEDOM DiVE[METAL DIMENSIONS] (Easy) by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""Everything Will Freeze by UNDEAD CORPORATION"",""Everything Will Freeze (Hard) by UNDEAD CORPORATION"",""Everything Will Freeze (Easy) by UNDEAD CORPORATION"",""Sad Dream by UNDEAD CORPORATION"",""Sad Dream (Hard) by UNDEAD CORPORATION"",""Sad Dream (Easy) by UNDEAD CORPORATION"",""Killing Me If You Can -Guitar Instrumental- by UNDEAD CORPORATION"",""Killing Me If You Can -Guitar Instrumental- (Hard) by UNDEAD CORPORATION"",""FinnMK's RoBeats 6th Anniversary Mega-Remix! [EXTENDED CUT] by FinnMK [Anniversary]"",""FinnMK's RoBeats 6th Anniversary Mega-Remix! [EXTENDED CUT] (Hard) by FinnMK [Anniversary]"",""Perfect Neglect by Kobaryo"",""Perfect Neglect (Hard) by Kobaryo"",""Perfect Neglect (Easy) by Kobaryo"",""Retaliation by Juggernaut"",""Retaliation (Hard) by Juggernaut"",""ExitusHaul by seatrus"",""ExitusHaul (Hard) by seatrus""]"
Rush,1,USAO,,,60,,30,,,,24,,,,,12,,6,,,,6,,"[""Extra Mode by USAO"",""Extra Mode (Hard) by USAO"",""Last Attack by USAO & Massive New Krew"",""Last Attack (Hard) by USAO & Massive New Krew"",""Unlimited Power (Game Edition) by USAO"",""Unlimited Power (Game Edition) (Hard) by USAO"",""Unlimited Power (Game Edition) (Easy) by USAO"",""Yayey by Shandy Kubota (USAO)"",""Yayey (Hard) by Shandy Kubota (USAO)"",""You Got Me by USAO & Shandy Kubota"",""You Got Me (Hard) by USAO & Shandy Kubota"",""You Got Me (Easy) by USAO & Shandy Kubota"",""NightLine by Shandy Kubota (USAO)"",""NightLine (Hard) by Shandy Kubota (USAO)"",""NightLine (Easy) by Shandy Kubota (USAO)"",""Interstellar Travel by USAO"",""Interstellar Travel (Hard) by USAO"",""Punish [EXTENDED CUT] by USAO"",""Punish [EXTENDED CUT] (Hard) by USAO""]"
Flow,1,Slynk,,55,,,25,,,24,,,,,11,,,5,,,6,,,"[""Delight Me by Slynk feat. Q'Aila"",""Delight Me (Hard) by Slynk feat. Q'Aila"",""Disco Operator by Slynk"",""Disco Operator (Hard) by Slynk"",""Get Busy by Slynk & WBBL"",""Get Busy (Hard) by Slynk & WBBL"",""Inside by Slynk"",""Inside (Hard) by Slynk"",""Inside (Easy) by Slynk"",""Keep The Party Jumping by Slynk & Mr Stabalina"",""Keep The Party Jumping (Hard) by Slynk & Mr Stabalina"",""Meant To Be by Slynk"",""Meant To Be (Hard) by Slynk"",""Meant To Be (Easy) by Slynk"",""People Get Up by Slynk & Granular Sumo"",""People Get Up (Hard) by Slynk & Granular Sumo"",""People Get Up (Easy) by Slynk & Granular Sumo"",""Things That You Do by Slynk feat. Father Funk"",""Things That You Do (Hard) by Slynk feat. Father Funk"",""With The Funk by Slynk & Megan Hamilton feat. The Bermudas"",""With The Funk (Hard) by Slynk & Megan Hamilton feat. The Bermudas""]"
Chill,2,Girlfriend,60,40,,,,,,,24,,,12,8,,,,,,,6,,"[""Pico by Kawai Sprite"",""Fresh by Kawai Sprite"",""Spookeez by Kawai Sprite"",""Spookeez (Hard) by Kawai Sprite"",""Winter Horrorland by Kawai Sprite feat. Bassetfilms"",""Winter Horrorland (Hard) by Kawai Sprite feat. Bassetfilms"",""South by Kawai Sprite"",""South (Hard) by Kawai Sprite"",""Philly Nice by Kawai Sprite"",""Philly Nice (Hard) by Kawai Sprite"",""Fresh (Hard) by Kawai Sprite"",""Pico (Hard) by Kawai Sprite"",""Dad Battle by Kawai Sprite"",""Dad Battle (Hard) by Kawai Sprite"",""Blammed by Kawai Sprite"",""Blammed (Hard) by Kawai Sprite"",""Bopeebo by Kawai Sprite"",""Bopeebo (Hard) by Kawai Sprite"",""Cocoa by Kawai Sprite"",""Cocoa (Hard) by Kawai Sprite"",""Eggnog by Kawai Sprite"",""Eggnog (Hard) by Kawai Sprite"",""Mom by Kawai Sprite"",""Mom (Hard) by Kawai Sprite"",""Monster by Kawai Sprite feat. Bassetfilms"",""Monster (Hard) by Kawai Sprite feat. Bassetfilms"",""Roses by Kawai Sprite"",""Roses (Hard) by Kawai Sprite"",""Satin by Kawai Sprite"",""Satin (Hard) by Kawai Sprite"",""Thorns by Kawai Sprite"",""Thorns (Hard) by Kawai Sprite"",""Senpai by Kawai Sprite"",""Senpai (Hard) by Kawai Sprite"",""Blammed (Easy) by Kawai Sprite"",""Bopeebo (Easy) by Kawai Sprite"",""Dad Battle (Easy) by Kawai Sprite"",""Eggnog (Easy) by Kawai Sprite"",""Mom (Easy) by Kawai Sprite"",""Philly Nice (Easy) by Kawai Sprite"",""Pico (Easy) by Kawai Sprite"",""Roses (Easy) by Kawai Sprite"",""Senpai (Easy) by Kawai Sprite"",""South (Easy) by Kawai Sprite"",""Spookeez (Easy) by Kawai Sprite"",""Thorns (Easy) by Kawai Sprite"",""Winter Horrorland (Easy) by Kawai Sprite feat. Bassetfilms"",""Wednesday Night Wreckin by James Landino"",""Wednesday Night Wreckin (Hard) by James Landino"",""Wednesday Night Wreckin (Easy) by James Landino"",""Dark Sheep (Funkin' Remix) [EXTENDED CUT] by Chroma (Covered by FNF feat. RoBeats! Team)"",""Dark Sheep (Funkin' Remix) [EXTENDED CUT] (Hard) by Chroma (Covered by FNF feat. RoBeats! Team)""]"
Flow,1,Kagi,,70,,,25,,28,,,,,,14,,,5,,7,,,,"[""Full Restore by Kagi"",""Full Restore (Hard) by Kagi"",""Full Restore (Easy) by Kagi"",""Kanpai by Kagi"",""Kanpai (Hard) by Kagi"",""Solitude by Kagi"",""Solitude (Hard) by Kagi"",""Sparkle by Kagi"",""Sparkle (Hard) by Kagi"",""Waddle by Kagi"",""Waddle (Hard) by Kagi"",""Spearmint by Kagi"",""Spearmint (Hard) by Kagi""]"
Vibe,1,Roxie,,,25,,70,,,,28,,,,,5,,14,,,,7,,"[""I don't care about Christmas though  by Camellia feat. Nanahira"",""I don't care about Christmas though  (Hard) by Camellia feat. Nanahira"",""I don't care about Christmas though  (Easy) by Camellia feat. Nanahira"",""Party in the HOLLOWood by t+pazolite feat. Nanahira"",""Party in the HOLLOWood (Hard) by t+pazolite feat. Nanahira"",""Party in the HOLLOWood (Easy) by t+pazolite feat. Nanahira"",""Niesonae by t+pazolite feat. Nanahira"",""Niesonae (Hard) by t+pazolite feat. Nanahira"",""Refactoring Travel by t+pazolite feat. Nanahira"",""Refactoring Travel (Hard) by t+pazolite feat. Nanahira"",""Eat The World Dip In Cheese! by Camellia (feat. Nanahira and Pochi Korone)"",""Eat The World Dip In Cheese! (Hard) by Camellia (feat. Nanahira and Pochi Korone)"",""Powerful chef using electronic cooker to cook 4000 years of historical Chinese dishes instantly by Camellia (feat. Nanahira)"",""Powerful chef using electronic cooker to cook 4000 years of historical Chinese dishes instantly (Hard) by Camellia (feat. Nanahira)"",""Home*made Parade by Neko Hacker (feat. Nanahira)"",""Home*made Parade (Hard) by Neko Hacker (feat. Nanahira)"",""Shuwa*Shuwa Parfait by Neko Hacker (feat. Nanahira)"",""Shuwa*Shuwa Parfait (Hard) by Neko Hacker (feat. Nanahira)"",""Shuwa*Shuwa Parfait (Easy) by Neko Hacker (feat. Nanahira)"",""You Make My Life 1UP by Camellia (feat. Nanahira)"",""You Make My Life 1UP (Hard) by Camellia (feat. Nanahira)"",""You Make My Life 1UP (Easy) by Camellia (feat. Nanahira)""]"
Flow,1,Se-U-Ra,,55,15,,,,,,24,,,,11,3,,,,,,6,,"[""Shironobo by Se-U-Ra"",""Shironobo (Hard) by Se-U-Ra"",""Traveler ~stand aloof~ by Se-U-Ra"",""Traveler ~stand aloof~ (Hard) by Se-U-Ra"",""Dark Desire of Ark Six by Se-U-Ra"",""Dark Desire of Ark Six (Hard) by Se-U-Ra"",""Afterwars -Infection- by Se-U-Ra"",""Afterwars -Infection- (Hard) by Se-U-Ra"",""Chronoto by Se-U-Ra"",""Chronoto (Hard) by Se-U-Ra"",""F-Rozenette by Se-U-Ra"",""F-Rozenette (Hard) by Se-U-Ra"",""Aiyatvs by Se-U-Ra"",""Aiyatvs (Hard) by Se-U-Ra"",""Heaven's Gear (burying side) by Se-U-Ra"",""Heaven's Gear (burying side) (Hard) by Se-U-Ra"",""Critical Fort-Less by Se-U-Ra"",""Critical Fort-Less (Hard) by Se-U-Ra"",""LOA2 by Se-U-Ra"",""LOA2 (Hard) by Se-U-Ra"",""HazArtOth by Se-U-Ra"",""HazArtOth (Hard) by Se-U-Ra"",""L-Uxor by Se-U-Ra"",""L-Uxor (Hard) by Se-U-Ra"",""E-Lectixilent (E-xtended Mix) [EXTENDED CUT] by Se-U-Ra"",""E-Lectixilent (E-xtended Mix) [EXTENDED CUT] (Hard) by Se-U-Ra"",""Eternity Dedicated to Travelers by Se-U-Ra"",""Eternity Dedicated to Travelers (Hard) by Se-U-Ra"",""Kurokotei x Se-U-Ra Mashup: When Two Worlds Collide [EXTENDED CUT] by Kurokotei and Se-U-Ra (Arranged by iiJohn0)"",""Kurokotei x Se-U-Ra Mashup: When Two Worlds Collide [EXTENDED CUT] (Hard) by Kurokotei and Se-U-Ra (Arranged by iiJohn0)"",""Dark Desire of Ark Six (Easy) by Se-U-Ra"",""F-Rozenette (Easy) by Se-U-Ra"",""LOA2 (Easy) by Se-U-Ra"",""Traveler ~stand aloof~ (Easy) by Se-U-Ra"",""Chronoto (Easy) by Se-U-Ra""]"
Rush,1,Kurante-chan,,,55,,15,,24,,,,,,,11,,3,,6,,,,"[""FREEDOM DiVE (Classic Map) [EXTENDED CUT] by xi (xi_com_giko_31)"",""FREEDOM DiVE (Classic Map) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE [METAL DIMENSIONS] (Classic Map) [EXTENDED CUT] by xi (xi_com_giko_31) (Remixed by cosMo@BousouP)"",""FREEDOM DiVE [METAL DIMENSIONS] (Classic Map) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31) (Remixed by cosMo@BousouP)"",""Blue Zenith by xi (xi_com_giko_31)"",""Blue Zenith (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE (Koneko's Hardmode) [EXTENDED CUT] by xi (xi_com_giko_31)"",""FREEDOM DiVE (Koneko's Hardmode) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31)"",""Agartha by xi (xi_com_giko_31)"",""Agartha (Hard) by xi (xi_com_giko_31)"",""Bad Elixir by xi (xi_com_giko_31)"",""Bad Elixir (Hard) by xi (xi_com_giko_31)"",""Bad Elixir (Easy) by xi (xi_com_giko_31)"",""Double Helix by xi (xi_com_giko_31)"",""Double Helix (Hard) by xi (xi_com_giko_31)"",""Double Helix (Easy) by xi (xi_com_giko_31)"",""FREEDOM DiVE by xi (xi_com_giko_31)"",""FREEDOM DiVE (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE (Easy) by xi (xi_com_giko_31)"",""FREEDOM DiVE[METAL DIMENSIONS] by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""FREEDOM DiVE[METAL DIMENSIONS] (Hard) by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""FREEDOM DiVE[METAL DIMENSIONS] (Easy) by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""Halcyon by xi (xi_com_giko_31)"",""Halcyon (Hard) by xi (xi_com_giko_31)"",""Halcyon (Easy) by xi (xi_com_giko_31)"",""Longinus by xi (xi_com_giko_31)"",""Longinus (Hard) by xi (xi_com_giko_31)"",""Seamless by xi (xi_com_giko_31)"",""Seamless (Hard) by xi (xi_com_giko_31)"",""Seamless (Easy) by xi (xi_com_giko_31)"",""Niflheimr by xi (xi_com_giko_31)"",""Niflheimr (Hard) by xi (xi_com_giko_31)"",""Niflheimr (Easy) by xi (xi_com_giko_31)"",""Parousia by xi (xi_com_giko_31)"",""Parousia (Hard) by xi (xi_com_giko_31)"",""Blue Zenith (Easy) by xi (xi_com_giko_31)""]"
Beat,2,Spring Festival Mattie,40,,,60,,,,,28,,,8,,,12,,,,,7,,"[""VR in the Virtual World by ARForest"",""VR in the Virtual World (Hard) by ARForest"",""Birdsong by James Landino & Kabuki"",""Birdsong (Hard) by James Landino & Kabuki"",""Birdsong (Easy) by James Landino & Kabuki"",""Postliminium by ARForest"",""Postliminium (Hard) by ARForest"",""Postliminium (Easy) by ARForest"",""Melodies With You by Ponchi feat.GUMI [MisoilePunch]"",""Melodies With You (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Melodies With You (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""MONONOKE by seatrus"",""MONONOKE (Hard) by seatrus"",""A Starry Night and a Single Flower by seatrus"",""A Starry Night and a Single Flower (Hard) by seatrus"",""A Starry Night and a Single Flower (Easy) by seatrus"",""spectre by keisei (feat. Hanakuma Chifuyu)"",""spectre (Hard) by keisei (feat. Hanakuma Chifuyu)"",""Endless Rain by seatrus (feat. marumoko)"",""Endless Rain (Hard) by seatrus (feat. marumoko)"",""Endless Rain (Easy) by seatrus (feat. marumoko)"",""Hanami Dango and Drinking Frenzy by AAAA"",""Hanami Dango and Drinking Frenzy (Hard) by AAAA"",""Raindrop by seatrus"",""Raindrop (Hard) by seatrus"",""Kaguya by BlackY"",""Kaguya (Hard) by BlackY"",""Koto Breaker by Autodidactic Studios feat. Waterflame and pftq"",""Koto Breaker (Hard) by Autodidactic Studios feat. Waterflame and pftq""]"
Vibe,1,Slushii,,25,,,50,,20,,,,,,5,,,10,,5,,,,"[""If We Never by Aiobahn & Vin [Monstercat]"",""If We Never (Hard) by Aiobahn & Vin [Monstercat]"",""If We Never (Easy) by Aiobahn & Vin [Monstercat]"",""We Won't Be Alone by Feint (feat. Laura Brehm) [Monstercat]"",""We Won't Be Alone (Hard) by Feint (feat. Laura Brehm) [Monstercat]"",""Change by hayve & Skyelle [Monstercat]"",""Change (Hard) by hayve & Skyelle [Monstercat]"",""Change (Easy) by hayve & Skyelle [Monstercat]"",""Rattlesnake by Rogue [Monstercat]"",""Rattlesnake (Hard) by Rogue [Monstercat]"",""LUV U NEED U by Slushii [Monstercat]"",""LUV U NEED U (Hard) by Slushii [Monstercat]"",""LUV U NEED U (Easy) by Slushii [Monstercat]"",""We Won't Be Alone (Easy) by Feint (feat. Laura Brehm) [Monstercat]"",""Worth The Lie by MUZZ & Koven & Feint [Monstercat]"",""Worth The Lie (Hard) by MUZZ & Koven & Feint [Monstercat]"",""Worth The Lie (Easy) by MUZZ & Koven & Feint [Monstercat]"",""Overkill by RIOT [Monstercat]"",""Overkill (Hard) by RIOT [Monstercat]"",""Overkill (Easy) by RIOT [Monstercat]""]"
Chill,1,HyuN,65,,,,,,,32,,,,13,,,,,,,8,,,"[""Amatium by HyuN"",""Amatium (Hard) by HyuN"",""Exodus by HyuN feat. Aerial"",""Exodus (Hard) by HyuN feat. Aerial"",""iRELLiA by HyuN"",""iRELLiA (Hard) by HyuN"",""iRELLiA (Easy) by HyuN"",""Untitled Soul by HyuN feat. rerone"",""Untitled Soul (Hard) by HyuN feat. rerone"",""Beautiful Memories by HyuN"",""Beautiful Memories (Hard) by HyuN"",""Beautiful Memories (Easy) by HyuN"",""THE SERVANT OF EVIL by HyuN vs JP-8 Eater"",""THE SERVANT OF EVIL (Hard) by HyuN vs JP-8 Eater"",""CROSS OVER by HyuN (feat. LyuU)"",""CROSS OVER (Hard) by HyuN (feat. LyuU)"",""CROSS OVER (Easy) by HyuN (feat. LyuU)"",""Infinity Heaven by HyuN"",""Infinity Heaven (Hard) by HyuN"",""Mirror Of Silent by HyuN"",""Mirror Of Silent (Hard) by HyuN"",""Tokyo's Starlight by HyuN"",""Tokyo's Starlight (Hard) by HyuN"",""Broken White by HyuN"",""Broken White (Hard) by HyuN""]"
Vibe,2,Electroman,35,,,,65,,,,36,,,7,,,,13,,,,9,,"[""Arcade Punk by Waterflame"",""Arcade Punk (Hard) by Waterflame"",""Blast Processing by Waterflame"",""Blast Processing (Hard) by Waterflame"",""Clutterfunk by Waterflame"",""Clutterfunk (Hard) by Waterflame"",""Clutterfunk (Easy) by Waterflame"",""Electroman Adventures V2 by Waterflame"",""Electroman Adventures V2 (Hard) by Waterflame"",""Electroman Adventures V2 (Easy) by Waterflame"",""Endgame by Waterflame"",""Endgame (Hard) by Waterflame"",""Glorious Morning 2 by Waterflame"",""Glorious Morning 2 (Hard) by Waterflame"",""Hexagon Force by Waterflame"",""Hexagon Force (Hard) by Waterflame"",""Hexagon Force (Easy) by Waterflame"",""Jumper by Waterflame"",""Jumper (Hard) by Waterflame"",""Lightspeed by Waterflame"",""Lightspeed (Hard) by Waterflame"",""Lines Fading by Waterflame"",""Lines Fading (Hard) by Waterflame"",""Final Battle [EXTENDED CUT] by Waterflame"",""Final Battle [EXTENDED CUT] (Hard) by Waterflame"",""Time Machine by Waterflame"",""Time Machine (Hard) by Waterflame"",""Pixel War [EXTENDED CUT] by Waterflame x Rutra"",""Pixel War [EXTENDED CUT] (Hard) by Waterflame x Rutra"",""Electroman Adventures V3 by Waterflame"",""Electroman Adventures V3 (Hard) by Waterflame"",""Electroman Adventures V3 (Easy) by Waterflame"",""Genshindou by Autodidactic Studios feat. Waterflame, Diana Garnet, and pftq"",""Genshindou (Hard) by Autodidactic Studios feat. Waterflame, Diana Garnet, and pftq"",""Genshindou (Easy) by Autodidactic Studios feat. Waterflame, Diana Garnet, and pftq"",""Koto Goa Mangetsu by Autodidactic Studios feat. Waterflame and pftq"",""Koto Goa Mangetsu (Hard) by Autodidactic Studios feat. Waterflame and pftq""]"
Chill,2,Valentine's Lisa,60,,35,,,,,,24,,,12,,7,,,,,,6,,"[""Delusional!! by Ponchi feat. haxchi [MisoilePunch]"",""Delusional!! (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Poison AND/OR Affection by LeaF (7eaF)"",""You & I by RiraN"",""You & I (Hard) by RiraN"",""strawberry sherbet(KSMEdit) by brz1128"",""strawberry sherbet(KSMEdit) (Hard) by brz1128"",""About U by Aiobahn & Vin [Monstercat]"",""About U (Hard) by Aiobahn & Vin [Monstercat]"",""Poison AND/OR Affection (Hard) by LeaF (7eaF)"",""Who Needs A Broken Heart by Tobu & Mangoo"",""Who Needs A Broken Heart (Hard) by Tobu & Mangoo"",""With Your Love by Tobu"",""With Your Love (Hard) by Tobu"",""NO STOPPING US by dark cat (feat. Jenny)"",""NO STOPPING US (Hard) by dark cat (feat. Jenny)"",""strawberry sherbet(KSMEdit) (Easy) by brz1128"",""Delusional!! (Easy) by Ponchi feat. haxchi [MisoilePunch]"",""Who Needs A Broken Heart (Easy) by Tobu & Mangoo"",""Poison AND/OR Affection (Easy) by LeaF (7eaF)"",""Melty Lover by seatrus"",""Melty Lover (Hard) by seatrus"",""In My Heart by Silentroom"",""In My Heart (Hard) by Silentroom"",""In My Heart (Easy) by Silentroom"",""Sanctuary by t+pazolite"",""Sanctuary (Hard) by t+pazolite"",""Sanctuary (Easy) by t+pazolite"",""Pixel Heart [EXTENDED CUT] by EmoCosine"",""Pixel Heart [EXTENDED CUT] (Hard) by EmoCosine"",""Remember by Juggernaut"",""Remember (Hard) by Juggernaut"",""Love Pills by EmoCosine"",""Love Pills (Hard) by EmoCosine"",""Chaotic Heart OwO by Halv"",""Chaotic Heart OwO (Hard) by Halv"",""Now I Feel You by HyuN"",""Now I Feel You (Hard) by HyuN"",""Memories by Juggernaut & flatt"",""Memories (Hard) by Juggernaut & flatt""]"
Rush,2,Kurante Metal Dimensions,,,70,,20,,32,,,,,,,14,,4,,8,,,,"[""FREEDOM DiVE (Classic Map) [EXTENDED CUT] by xi (xi_com_giko_31)"",""FREEDOM DiVE (Classic Map) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE [METAL DIMENSIONS] (Classic Map) [EXTENDED CUT] by xi (xi_com_giko_31) (Remixed by cosMo@BousouP)"",""FREEDOM DiVE [METAL DIMENSIONS] (Classic Map) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31) (Remixed by cosMo@BousouP)"",""Blue Zenith by xi (xi_com_giko_31)"",""Blue Zenith (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE (Koneko's Hardmode) [EXTENDED CUT] by xi (xi_com_giko_31)"",""FREEDOM DiVE (Koneko's Hardmode) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31)"",""Agartha by xi (xi_com_giko_31)"",""Agartha (Hard) by xi (xi_com_giko_31)"",""Bad Elixir by xi (xi_com_giko_31)"",""Bad Elixir (Hard) by xi (xi_com_giko_31)"",""Bad Elixir (Easy) by xi (xi_com_giko_31)"",""Double Helix by xi (xi_com_giko_31)"",""Double Helix (Hard) by xi (xi_com_giko_31)"",""Double Helix (Easy) by xi (xi_com_giko_31)"",""FREEDOM DiVE by xi (xi_com_giko_31)"",""FREEDOM DiVE (Hard) by xi (xi_com_giko_31)"",""FREEDOM DiVE (Easy) by xi (xi_com_giko_31)"",""FREEDOM DiVE[METAL DIMENSIONS] by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""FREEDOM DiVE[METAL DIMENSIONS] (Hard) by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""FREEDOM DiVE[METAL DIMENSIONS] (Easy) by xi (xi_com_giko_31) remixed by cosMo@bousouP"",""Halcyon by xi (xi_com_giko_31)"",""Halcyon (Hard) by xi (xi_com_giko_31)"",""Halcyon (Easy) by xi (xi_com_giko_31)"",""Longinus by xi (xi_com_giko_31)"",""Longinus (Hard) by xi (xi_com_giko_31)"",""Seamless by xi (xi_com_giko_31)"",""Seamless (Hard) by xi (xi_com_giko_31)"",""Seamless (Easy) by xi (xi_com_giko_31)"",""Niflheimr by xi (xi_com_giko_31)"",""Niflheimr (Hard) by xi (xi_com_giko_31)"",""Niflheimr (Easy) by xi (xi_com_giko_31)"",""Parousia by xi (xi_com_giko_31)"",""Parousia (Hard) by xi (xi_com_giko_31)"",""Blue Zenith (Easy) by xi (xi_com_giko_31)""]"
Vibe,2,Black17 Eternxlkz,,,50,,55,,,,24,,,,,10,,11,,,,6,,
